tipe_dokumen,judul_dokumen,status,nomor_peraturan,jenis_peraturan,tempat_penetapan,tanggal_penetapan,tanggal_pengundangan,sumber,sumber_detail,urusan_pemerintah,bidang_hukum,bahasa,pemrakarsa,penandatangan,peraturan_terkait,dokumen_terkait,hasil_uji_mk,pengarang,subjek,file_url,file_size,link
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"PERATURAN PRESIDEN NOMOR 17 TAHUN 2014 TENTANG PENCABUTAN PERATURAN PRESIDEN NOMOR 106 TAHUN 2013 TENTANG JAMINAN PEMELIHARAAN KESEHATAN KETUA, WAKIL KETUA, DAN ANGGOTA DEWAN PERWAKILAN RAKYAT, DEWAN PERWAKILAN DAERAH, BADAN PEMERIKSA KEUANGAN, KOMISI YUDISIAL, HAKIM MAHKAMAH KONSTITUSI, DAN HAKIM AGUNG MAHKAMAH AGUNG",-,Tidak Ada Lampiran,17,PERATURAN PRESIDEN,-,18 Febuari 2014,JDIH UNIT ESELON 1 KEMENKUMHAM BADAN PEMBINAAN HUKUM NASIONAL,18 Febuari 2014,LN 2014 (40) : 2 Hlm ,-,-,-,-,-,-,-,-,-,https://jdihn.go.id/files/4/2014pr017.pdf,126814,https://jdihn.go.id/search/pusat/detail/839605
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,PERATURAN PRESIDEN NOMOR 18 TAHUN 2014 TENTANG PERLINDUNGAN DAN PEMBERDAYAAN PEREMPUAN DAN ANAK DALAM KONFLIK SOSIAL,-,Tidak Ada Lampiran,18,PERATURAN PRESIDEN,-,07 Maret 2014,JDIH UNIT ESELON 1 KEMENKUMHAM BADAN PEMBINAAN HUKUM NASIONAL,07 Maret 2014,LN 2014 (44) : 18 Hlm ,-,-,-,-,-,-,-,-,-,https://jdihn.go.id/files/4/2014pr018.pdf,54188,https://jdihn.go.id/search/pusat/detail/839606
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"PERATURAN PRESIDEN NOMOR 19 TAHUN 2014 TENTANG PENGESAHAN THE AGREEMENT ON THE ESTABLISHMENT OF THE REGIONAL SECRETARIAT OF THE CORAL TRIANGLE INITIATIVE ON CORAL REEFS FISHERIES AND FOOD SECURITY (PERSETUJUAN MENGENAI PEMBENTUKAN SEKRETARIAT REGIONAL PRAKARSA SEGITIGA KARANG UNTUK TERUMBU KARANG, PERIKANAN, DAN KETAHANAN PANGAN)",-,Tidak Ada Lampiran,19,PERATURAN PRESIDEN,-,13 Maret 2014,JDIH UNIT ESELON 1 KEMENKUMHAM BADAN PEMBINAAN HUKUM NASIONAL,13 Maret 2014,LN 2014 (49) : 4 Hlm ,-,-,-,-,-,-,-,-,-,https://jdihn.go.id/files/4/2014pr019.pdf,25569,https://jdihn.go.id/search/pusat/detail/839607
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,PERATURAN PRESIDEN NOMOR 20 TAHUN 2014 TENTANG PENGESAHAN PERSETUJUAN ANTARA PEMERINTAH REPUBLIK INDONESIA DAN KERAJAAN BELANDA TENTANG PEMBAYARAN TUNJANGAN ASURANSI SOSIAL BELANDA DI INDONESIA (AGREEMENT BETWEEN THE REPUBLIC OF INDONESIA AND THE KINGDOM OF THE NETHERLANDS ON PAYMENT OF DUTCH SOCIAL INSURANCE BENEFITS IN INDONESIA),-,Tidak Ada Lampiran,20,PERATURAN PRESIDEN,-,11 April 2014,JDIH UNIT ESELON 1 KEMENKUMHAM BADAN PEMBINAAN HUKUM NASIONAL,11 April 2014,LN 2014 (50) : 2 Hlm ,-,-,-,-,-,-,-,-,-,https://jdihn.go.id/files/4/2014pr020.pdf,9415622,https://jdihn.go.id/search/pusat/detail/839608
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"PERATURAN PRESIDEN NOMOR 21 TAHUN 2014 TENTANG PENGESAHAN PERSETUJUAN KEMITRAAN SUKARELA ANTARA REPUBLIK INDONESIA DAN UNI EROPA TENTANG PENEGAKAN HUKUM KEHUTANAN, PENATAKELOLAAN, DAN PERDAGANGAN PRODUK KAYU KE UNI EROPA (VOLUNTARY PARTNERSHIP AGREEMENT BETWEEN THE REPUBLIC OF INDONESIA AND THE EUROPEAN UNION ON FOREST LAW ENFORCEMENT, GOVERNANCE AND TRADE IN TIMBER PRODUCT INTO THE EUROPEAN UNION)",-,Tidak Ada Lampiran,21,PERATURAN PRESIDEN,-,13 Maret 2014,JDIH UNIT ESELON 1 KEMENKUMHAM BADAN PEMBINAAN HUKUM NASIONAL,13 Maret 2014,LN 2014 (51) : 2 Hlm ,-,-,-,-,-,-,-,-,-,https://jdihn.go.id/files/4/2014pr021.pdf,25644,https://jdihn.go.id/search/pusat/detail/839609
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,PERATURAN PRESIDEN NOMOR 22 TAHUN 2014 TENTANG PENDIRIAN UNIVERSITAS SEMBILANBELAS NOVEMBER KOLAKA,-,Tidak Ada Lampiran,22,PERATURAN PRESIDEN,-,01 April 2014,JDIH UNIT ESELON 1 KEMENKUMHAM BADAN PEMBINAAN HUKUM NASIONAL,01 April 2014,LN 2014 (62) : 3 Hlm ,-,-,-,-,-,-,-,-,-,https://jdihn.go.id/files/4/2014pr022.pdf,27510,https://jdihn.go.id/search/pusat/detail/839610
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,PERATURAN PRESIDEN NOMOR 23 TAHUN 2014 TENTANG PENDIRIAN UNIVERSITAS TIDAR,-,Tidak Ada Lampiran,23,PERATURAN PRESIDEN,-,01 April 2014,JDIH UNIT ESELON 1 KEMENKUMHAM BADAN PEMBINAAN HUKUM NASIONAL,01 April 2014,LN 2014 (63) : 5 Hlm ,-,-,-,-,-,-,-,-,-,https://jdihn.go.id/files/4/2014pr023.pdf,26647,https://jdihn.go.id/search/pusat/detail/839611
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,PERATURAN PRESIDEN NOMOR 24 TAHUN 2014 TENTANG PENDIRIAN UNIVERSITAS SILIWANGI,-,Tidak Ada Lampiran,24,PERATURAN PRESIDEN,-,01 April 2014,JDIH UNIT ESELON 1 KEMENKUMHAM BADAN PEMBINAAN HUKUM NASIONAL,01 April 2014,LN 2014 (64) : 5 Hlm ,-,-,-,-,-,-,-,-,-,https://jdihn.go.id/files/4/2014pr024.pdf,517621,https://jdihn.go.id/search/pusat/detail/839612
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,PERATURAN PRESIDEN NOMOR 25 TAHUN 2014 TENTANG PENDIRIAN UNIVERSITAS TEUKU UMAR,-,Tidak Ada Lampiran,25,PERATURAN PRESIDEN,-,01 April 2014,JDIH UNIT ESELON 1 KEMENKUMHAM BADAN PEMBINAAN HUKUM NASIONAL,01 April 2014,LN 2014 (65) : 5 Hlm,-,-,-,-,-,-,-,-,-,https://jdihn.go.id/files/4/2014pr025.pdf,518673,https://jdihn.go.id/search/pusat/detail/839613
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,PERATURAN PRESIDEN NOMOR 26 TAHUN 2014 TENTANG TUNJANGAN JABATAN FUNGSIONAL PENYULUH KELUARGA BERENCANA,-,Tidak Ada Lampiran,26,PERATURAN PRESIDEN,-,14 April 2014,JDIH UNIT ESELON 1 KEMENKUMHAM BADAN PEMBINAAN HUKUM NASIONAL,14 April 2014,LN 2014 (77) : 6 Hlm,-,-,-,-,-,-,-,-,-,https://jdihn.go.id/files/4/2014pr026.pdf,107617,https://jdihn.go.id/search/pusat/detail/839614
