tipe_dokumen,judul_dokumen,status,nomor_peraturan,jenis_peraturan,tempat_penetapan,tanggal_penetapan,tanggal_pengundangan,sumber,sumber_detail,urusan_pemerintah,bidang_hukum,bahasa,pemrakarsa,penandatangan,peraturan_terkait,dokumen_terkait,hasil_uji_mk,pengarang,subjek,file_url,file_size,link
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 34/PER/M.KOMINFO/8/2009 tanggal 31 Agustus 2009, tentang Penyelenggaraan Komunikasi Radio Antar Penduduk",-,34,PERATURAN MENTERI,-,31 Agustus 2009,31 Agustus 2009,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/-,0,https://jdihn.go.id/search/pusat/detail/980077
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 24 Tahun 2014 tanggal 6 Agustus 2014, tentang Perubahan Kedua atas Peraturan Menteri Komunikasi dan Informatika Nomor 21 Tahun 2013 tentang Penyelenggaraan Jasa Penyediaan Konten pada Jaringan Bergerak Seluler dan Jaringan Tetap Lokal Tanpa Kabel dengan Mobilitas Terbatas",-,24,PERATURAN MENTERI,-,07 Agustus 2014,07 Agustus 2014,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1407928317-Salinan_PM_Kominfo_No_24_Tahun_2014_tentang_Perubahan_Kedua_PM_Kominfo_No_21_Tahun_2013.pdf,158096,https://jdihn.go.id/search/pusat/detail/980079
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 29 Tahun 2012 tanggal 12 September 2012, tentang Prosedur Koordinasi Penggunaan Pita Frekuensi Radio 2.3 Ghz untuk Keperluan Layanan Pita Lebar Nirkabel (Wireless Broadband) Berbasis Netral Teknologi",-,29,PERATURAN MENTERI,-,12 September 2012,12 September 2012,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1378265262-Salinan_RPM_No_29_2012_KOORDINASI_BWA.pdf,243732,https://jdihn.go.id/search/pusat/detail/980080
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 13 Tahun 2015 tanggal 1 April2015, tentang Pedoman Penyelenggaraan Sistem Akuntabilitas Kinerja Instansi Pemerintah pada Kementerian Komunikasi dan Informatika",-,13,PERATURAN MENTERI,-,01 April 2015,01 April 2015,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1429497232-merged_document_2.pdf,1128937,https://jdihn.go.id/search/pusat/detail/980081
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 22 Tahun 2015 tanggal 16 Juni 2015, tentang Rencana Strategis Kementerian Komunikasi dan Informatika Tahun 2015 -- 2019",-,22,PERATURAN MENTERI,-,16 Juni 2015,16 Juni 2015,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1437984336-Salinan_PM_Kominfo_No_22_Th_2015_Renstra_2015_2019_final.pdf,7117771,https://jdihn.go.id/search/pusat/detail/980082
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 9 Tahun 2015 tanggal 12 Februari 2015, tentang Perubahan atas Peraturan Menteri Komunikasi dan Informatika Nomor 32 Tahun 2014 Tentang Persyaratan dan Tata Cara Pemberian Izin Penyelenggaraan Pos",-,9,PERATURAN MENTERI,-,12 Febuari 2015,12 Febuari 2015,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1424420850-Salinan_PM_Kominfo_No_9_Th_2015_Perubahan_PM_32_Th_2014.pdf,477410,https://jdihn.go.id/search/pusat/detail/980087
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 10 Tahun 2015 tanggal 25 Februari 2015, tentang Tata Cara Pendaftaran Sistem Elektronik Instansi Penyelenggara Negara",-,10,PERATURAN MENTERI,-,25 Febuari 2015,25 Febuari 2015,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1430713461-Salinan_PM_No_10_Th_2015_Tata_Cara_Pendaftaran_SE_Instansi_Negara.pdf,399468,https://jdihn.go.id/search/pusat/detail/980088
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 2 Tahun 2015 tanggal 4 Februari 2015, tentang Perubahan Atas Peraturan Menteri Komunikasi dan Informatika Nomor 33/PER/M.KOMINFO/08/2009 Tentang Penyelenggaraan Amatir Radio",-,2,PERATURAN MENTERI,-,04 Febuari 2015,04 Febuari 2015,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1424139247-Salinan_PM_Kominfo_No_2_Th_2015_Perubahan_PM_33_Tahun_2009.pdf,487112,https://jdihn.go.id/search/pusat/detail/980090
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 2 Tahun 2018 tanggal 2 Mei 2018, tentang Perubahan atas Peraturan Menteri Komunikasi dan Informatika Nomor 15 Tahun 2017 Tentang Organissasi dan Tata Kerja Unit Pelaksana Teknis Bidang Monitor Spektrum Frekuensi Radio",-,2,PERATURAN MENTERI,-,02 Mei 2018,02 Mei 2018,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1526623698-PM_Kominfo_No_2_Tahun_2018_JDIH.pdf,236809,https://jdihn.go.id/search/pusat/detail/980092
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 14 Tahun 2015 tanggal 2 April 2015, tentang Forum Koordinasi Pejabat Pengelola Informasi dan Dokumentasi di Lingkungan Badan Publik",-,14,PERATURAN MENTERI,-,02 April 2015,02 April 2015,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1429497681-merged_document_3.pdf,523979,https://jdihn.go.id/search/pusat/detail/980093
